,Titre,Prix,Date annonce,Étage,Surface habitable,Salons,Secteur,Latitude,Longitude,Âge du bien_1-5 ans,Âge du bien_11-20 ans,Âge du bien_21+ ans,Âge du bien_6-10 ans,Âge du bien_Neuf,month
0,appartement de 202 m² proche boulevard Ghandi,2100000.0,2022-08-27,5,161,2,Maarif,35.3750725,4.2721827,0,1,0,0,0,8
1,Appartement neuf Vente à 2 mars mlydriss 1er202m2,2100000.0,2022-08-27,5,180,3,2 Mars,36.83747145,10.101498375786042,0,0,0,0,1,8
2,Appartement 114 m2 en vente,1060000.0,2022-08-26,1,114,1,Roches Noires,33.5931914,-7.5957822,0,0,0,1,0,8
3,Bel apart 83m,1100000.0,2022-08-27,2,83,2,Hoda,25.2177736,75.0537443,1,0,0,0,0,8
4,Appartement neuf Vente Ain Chokhaycrifa130mitr ,1500000.0,2022-08-27,1,115,2,Aïn Chock,33.5362148,-7.6156977,0,0,0,0,1,8
5,studio aswak Salam mohammedia ,420000.0,2022-08-27,0,55,1,Centre Ville,48.9089508,2.2909920324748017,0,0,0,1,0,8
6,Appartement 77m² en Vente à Tanger,500000.0,2022-08-27,3,77,1,Aouama Gharbia,35.7261824,-5.8038898,1,0,0,0,0,8
7,Appartement haut standing en vente à wifak temara ,1020000.0,2022-08-27,2,85,1,Wifak,33.8947254,-5.579994,0,0,0,1,0,8
8,vente appart avec terrasse ,700000.0,2022-08-27,7,55,1,Branes 2,34.807363,-84.57515,0,0,0,1,0,8
9,Appartement à Mohammedia Parc Plaza,1390000.0,2022-08-27,4,118,1,Quartier du Parc,43.9823106,0.4452671,1,0,0,0,0,8
10,Appartement à vendre ,680000.0,2022-08-27,1,80,1,Oulfa,33.5512214,-7.6843485,0,0,0,0,1,8
11,Appartement à vendre ,696000.0,2022-08-27,1,81,1,Oulfa,33.5512214,-7.6843485,0,0,0,0,1,8
12,Appartement 89m² en Vente à Casablanca deux face ,952300.0,2022-08-27,4,80,1,Aïn Sebaâ,33.6059943,-7.5387936,0,0,0,0,1,8
13,Appartement bien située,600000.0,2022-08-27,1,71,2,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,0,1,8
14,Appartement 190m,1100000.0,2022-08-27,5,110,1,Val Fleury,-22.120361,166.4317837,0,1,0,0,0,8
15,Vente Appartement Mimosa Kenitra,650000.0,2022-08-27,6,91,1,Mimosas,47.3366191,-2.4296783565399487,0,1,0,0,0,8
16,Appartement 94 m hay chemaou,780000.0,2022-08-27,1,94,1,Hay Chmaou,34.0665274,-6.8007033,0,1,0,0,0,8
17,en cours de construction ,828275.0,2022-08-27,4,42,1,Maarif,35.3750725,4.2721827,0,0,0,0,1,8
18,Appartement 146m2,2950000.0,2022-08-27,1,146,2,Hay Riad,34.9243469,-2.3059319,0,0,0,1,0,8
19,studio neuf vente les princesses ,920000.0,2022-08-27,7,54,1,Les Princesses,46.680959,5.5529339,0,0,0,0,1,8
20,Bel appartement vide à vendre à Targa Marrakech,1640000.0,2022-08-27,0,164,1,Hay Targa,33.0042215,-7.6291385,0,0,0,0,1,8
21,مشروع السوسن بزواغة إبتداءا من 16 المليون,160000.0,2022-08-27,2,60,1,Ben Souda,34.0068845,-5.067669233770365,0,0,0,0,1,8
22,Appartement 82m² à Casablanca,960000.0,2022-08-27,2,82,1,Bourgogne,47.27808725,4.222486304306048,0,0,0,1,0,8
23,Appartement en Vente à Casablanca les Princesses,1450000.0,2022-08-27,2,69,1,Les Princesses,46.680959,5.5529339,0,0,0,0,1,8
24,Bel Appartement Av Moukawama centre ville,1030000.0,2022-08-27,5,81,1,Hassan,13.0070817,76.0992703,0,0,0,1,0,8
25,Bel Appartement en Vente à Kénitra,460000.0,2022-08-27,0,85,1,El Haddada,21.267315,-13.611894,0,0,0,0,1,8
26,Résidence Haut Standing CHU Mohammed IV Marrakech,560000.0,2022-08-27,1,60,1,Amerchich,31.6695899,-8.0044112,0,0,0,0,1,8
27,App 1er étage,360000.0,2022-08-27,1,56,1,Sidi Moumen,33.5843834,-7.5072051,1,0,0,0,0,8
28,Appartement à Casablanca,980000.0,2022-08-27,3,75,1,Sidi Maarouf,36.6400065,6.2741706,1,0,0,0,0,8
29,Vente App 2ch à Prestigia à Prestigia Hay Riad,2200000.0,2022-08-27,0,98,2,Hay Riad,34.9243469,-2.3059319,1,0,0,0,0,8
30,Appartement haut standing à beausejour,1980000.0,2022-08-27,5,144,2,Beauséjour,50.0619312,-96.5140821,0,1,0,0,0,8
31,App 2ch 171m2 à Prestigia Hay Riad,2450000.0,2022-08-27,0,110,2,Hay Riad,34.9243469,-2.3059319,1,0,0,0,0,8
32,Appartement à Quartier des Hopitaux,1050000.0,2022-08-27,1,90,1,Quartier des Hôpitaux,48.896115300000005,2.173397970396393,0,1,0,0,0,8
33,Appartement de 148m bien ensoleillé au hopitaux,1900000.0,2022-08-27,5,148,2,Quartier des Hôpitaux,48.896115300000005,2.173397970396393,0,1,0,0,0,8
34,Appart 97m2 Bachkou Taddart,1240000.0,2022-08-27,2,89,1,Tantonville,48.4698244,6.1401088,0,1,0,0,0,8
35,Studio de 63 a vendre a casablanca,661500.0,2022-08-27,2,63,1,Aïn Sebaâ,33.6059943,-7.5387936,0,0,0,0,1,8
36,Appt à vendre,480000.0,2022-08-27,1,58,1,Mabrouka,14.9208624,33.4502341,0,0,0,1,0,8
37,81m au centre ville de kenitra bien ensoleillé ,770000.0,2022-08-27,5,81,1,La Ville Haute,34.2609146,-6.5902809,1,0,0,0,0,8
38,Appartement de 94m à ain sbaa,930000.0,2022-08-27,4,94,1,Aïn Sebaâ,33.6059943,-7.5387936,1,0,0,0,0,8
39,appartement a vendre a izdihar ,450000.0,2022-08-27,3,54,1,Hay Izdihar,33.9811039,-6.8845328,1,0,0,0,0,8
40,Bel appartement de 56m a bernoussi,532000.0,2022-08-27,2,56,1,Sidi Bernoussi,33.6190686,-7.5003234,0,0,0,0,1,8
41,Appartement 85m² Sidi Maarouf,850000.0,2022-08-27,3,85,1,Sidi Maarouf,36.6400065,6.2741706,0,0,0,0,1,8
42,شقة حديثة للبيع ,440000.0,2022-08-27,3,62,1,Centre ville,48.9089508,2.2909920324748017,0,0,0,0,1,8
43,Appartement 120m Maarif Extention,1480000.0,2022-08-27,3,120,1,Maarif,35.3750725,4.2721827,0,1,0,0,0,8
44,Joli appart 107m Résidence bahja Avenue Majd,1050000.0,2022-08-27,3,107,2,Massira,33.9912042,-5.0590273,0,1,0,0,0,8
