,Secteur
Oulfa,278
Sidi Moumen,171
Aïn Sebaâ,165
Sidi Bernoussi,161
Hay Mohammadi,147
Centre Ville,145
Maarif,139
Sidi Maarouf,132
Agdal,120
Guéliz,115
Sala el Jadida,106
Bourgogne,99
Centre,98
Centre ville,95
Mimosas,91
Wifak,89
Hay Hassani,85
Belvédère,82
Hay Salam,80
M'Hamid,79
Marjane 2,73
Aïn Chock,73
Mabrouka,65
Hay Chmaou,64
2 Mars,63
Tabriquet,61
Sidi Hajji,58
Hay Essalam,57
Lissasfa,55
Hay Izdihar,53
Aïn Borja,51
La Gironde,50
Californie,49
Marjane,48
Hay Riad,47
Mesnana,46
Val Fleuri,45
Oued Fès,44
La Ville Haute,43
Hay Charaf,41
Quartier de l'Océan,40
Malabata,39
Les Portes de Marrakech,39
Hamria,38
Maamora,36
El Bassatine,35
Bir Rami,35
Anfa,35
El Alia,34
Abouab Sala,33
Roches Noires,33
Quartier des Hôpitaux,33
Beauséjour,32
Wislane,32
El Haddada,31
Harhoura,31
Route de Casablanca,29
Sidi Othmane,29
Narjis,29
Al Qods,28
Yacoub El Mansour,28
Moujahidine,28
Ville Nouvelle,28
Saada,27
Diour Jamaa,27
Ben Souda,27
Ben M'sick,27
Hay Nahda,25
Massira,25
Es Saada,25
Nassim,25
Plage Oued Cherrat,24
Sbata,24
El Houda,24
Ouled Tayeb,24
Zouagha,23
Wafa,22
Hay el Fath,22
Route de Sefrou,22
Allal El Fassi,22
Les Princesses,22
Quartier Aérodrome,22
Hay Oued Dahab,22
Guich Oudaya,21
Wilaya,21
Mers Sultan,21
Derb Ghallef,20
Ahlane,20
Hay Moulay Rachid,20
Quartier du Parc,19
Massira 2,19
Abbadi,19
Gauthier,19
Al Fida,19
Casablanca Finance City,19
Najd,19
Racine,19
Route d'Azemmour,19
Hay Rahma,19
Massira 1,19
Azzouzia,18
Mghogha,18
Haut-Founty,18
Targa,18
Bettana,17
Ouled Oujih,17
Palmier,16
Zemmouri,16
Skikina,16
Hassan,16
Bournazil,16
Achakar,16
Aouama Gharbia,15
Saies,15
Val Fleury,14
Route de Safi,14
El Majd,14
Ain Mezouar,14
Medina,14
Hay Dakhla,14
Oasis,14
Av Abdelkrim El Khattabi,13
Aida,13
Safir,13
Corniche,13
Aviation,13
Azli,13
La Siesta,13
Hay Saada,12
Administratif,12
Branes 2,12
Riad Toulal,12
Quartier Industriel,12
Hay Lazaret,11
Moulay Youssef,11
Cité Adrar,11
Hay Atlas,11
Maghreb Arabi,11
Tilila,10
Hay Al Matar,10
Boustane,10
Andalous,10
Hay El Andalous,10
De La Plage,10
Mont fleuri,10
Al Kawtar,10
C.I.L,10
Hay Targa,10
Kouilma,10
Sidi Bouzekri,9
Mhannech,9
Route d'El Jadida,9
Mont Fleuri 2,9
Derb Omar,9
Tghat,8
Daoudiate,8
Hay salam,8
Fès Médina,8
Amal,8
Castilla,8
Sidi Abdellah,8
Ferme Bretone,8
El Matar,8
Sakani,8
Palmeraie,8
El Baraka,8
Tanger City Center,8
El Qaria,8
Al Boustane,8
Aharrarine,7
Du Golf,7
Touilaa,7
Av Mohammed VI,7
Jawhara,7
Laimoune,7
Route Jerada,7
Narjiss,7
Amerchich,7
Hay Massira,6
Hay Alfalah,6
Bab Sebta,6
Sidi Yahya,6
Partie Est,6
Taboula,6
Smaâla,6
Al Azhar,6
Triangle d'Or,6
Massira 3,6
Hay zitoune,6
Issil,6
Hay Alqods,6
Iberie,6
Al Hadiqa,6
Ziana,5
Al Batha,5
Alaouiyine,5
Zone Industrielle Agadir,5
Cité Militaire,5
Ancienne Médina,5
Hoda,5
Ain Haroun,5
Rachidia,5
Hay Inbiat,5
Marina,5
Sidi Abbad,5
Hay Al Horria,5
Tantonville,5
Dar El Lhamra,5
Riad 1,5
Taïbia,5
Hay Al Falah,5
Hay Karima,5
Nahda-2,5
Les Orangers,5
Fouarate,5
Bir Rami Est,5
Zitoune,5
Sidi Moussa,5
Oued Eddahab,4
Bab Fès,4
Amsernate,4
El Ismailia,4
Ain el Hayat,4
Nouvelle Ville,4
Hay Al Amal,4
Zone Industrielle Moulay Rachid,4
Hay El Qods,4
Al Wifaq,4
Mellah,4
Hay Inara,4
Bab Al Bahr,4
Hassania 1,4
Iris,4
Assaka,4
Hermitage,4
Afaq,4
Biranzarane,4
Riviera,4
Route d'Agadir - Essaouira,4
